"A girl pointing to a photo says: ""She is the daughter of my grandfather's ONLY son."" Who is she?",Mother,Sister,Aunt,Cousin,2
A real clock shows 5:00. What time is seen in the MIRROR?,5:00,6:00,7:00,9:00,3
If 3 pencils + 2 erasers = Rs 23 and 2 pencils + 2 erasers = Rs 18; what is the cost of 1 pencil?,Rs 5,Rs 4,Rs 6,Rs 3,1
First Generation computers (1940s) used which core technology?,Vacuum Tubes,Transistors,IC Chips,Microprocessor,1
Who is known as the Father of the Computer?,Bill Gates,Charles Babbage,Tim Berners-Lee,Thomas Edison,2
What was ENIAC?,First electronic general-purpose computer,First phone,First printer,First mouse,1
What was the key invention of the Fourth Generation of computers?,Vacuum tube,Transistor,Microprocessor,Abacus,3
1 TB is equal to how many Gigabytes?,1024 KB,1024 MB,1024 GB,100 GB,3
Which of the following represents the FASTEST memory in a computer?,Registers/Cache inside CPU,RAM,SSD,HDD,1
Why is an SSD generally considered better than a traditional HDD?,Has spinning disk,No moving parts; faster; silent,Bigger and heavier,Needs more power,2
In Windows; what does the shortcut Win + D do?,Show Desktop (minimise all),Delete file,Open browser,Shut down,1
Which keyboard shortcut is used to jump between open application windows (e.g.; Word to Chrome)?,Ctrl+S,Alt+Tab,Alt+F4,Ctrl+P,2
A file named game.exe has an extension .exe. What does this mean?,Photo,Program/Application to run,Song,Word doc,2
In MS Word; pressing Ctrl+H opens which dialog box?,Help,Find and Replace,Header,History,2
Where does a Header normally appear in an MS Word document?,Top of every page,Bottom only once,Only first page middle,Never prints,1
What is the primary difference between Bullets and Numbering in word processing?,Bullets are dots; Numbering indicates order (1; 2; 3),Both are the same,Bullets are numbers,Numbering is pictures only,1
Which menu tab in MS Word is used to insert a table for marks?,Home -> Font,Insert -> Table,View -> Zoom,File -> Save,2
In MS Word; what function does the F7 shortcut key perform?,Refresh,Spelling & Grammar check,Rename,Save,2
In presentation software; what is the difference between Transition and Animation?,Transition is between slides; Animation is on text/picture,Both are identical,Transition is text only,Animation is between slides,1
Which view in MS PowerPoint allows you to see all slides as small thumbnails to re-order them easily?,Normal view,Slide Sorter view,Reading view,Print view,2
Which shortcut key is used to run a PowerPoint slideshow starting from the FIRST slide?,Shift+F5,F5,F1,F2,2
A school computer network confined to a single laboratory building is classified as a:,LAN,WAN,MAN,PAN,1
What is the primary function of a network Firewall?,Blocks hackers and unauthorised access,Prints pages,Cools the CPU,Charges the laptop,1
"An email states: ""Bank: Click link; provide OTP immediately or your account will be blocked!"" This is an example of:",True bank mail,Phishing (fake to steal data),Antivirus update,Firewall alert,2
What is the primary role of Antivirus software on a computer?,Creates viruses,Detects and removes viruses,Deletes all files,Slows down the Internet only,2
What does the acronym HTML stand for?,HyperText Markup Language,High Text Machine Language,Home Tool Main Language,Hyperlink Text Mode Language,1
In HTML; what is the difference between <h1> and <h6> tags?,Headings; h1 is the biggest and h6 is the smallest,They insert pictures,They make hyperlinks,They build tables,1
"What action does the HTML tag <img src=""cat.jpg""> perform?",Makes a hyperlink,Inserts the image cat.jpg,Makes a paragraph,Breaks the line,2
What is CSS primarily used for in web design?,Making the computer faster,Styling webpage colours; fonts; and background,Typing documents in Word,Saving files to disk,2
In Scratch programming; what is a Sprite?,A character or object that moves on the stage,The background wall only,A sound effect,The keyboard hardware,1
In Scratch; what action does clicking the Green Flag icon trigger?,Stop all scripts,Start the program,Delete the sprite,Save the project file,2
In Scratch; which blocks are used to make a sprite move 10 steps exactly 10 times?,move 10 steps only once,repeat 10: move 10 steps,forever: stop,wait 10 secs,2
In Scratch; what is the Stage?,The active sprite character,The background area where the action and story happen,The block palette box,The speaker output,2
How does an AI system learn to recognize and unlock a smartphone using face data?,Machine Learning trained on many face images and patterns,By magic,By printing the face on paper,By always prompting for a text password,1
Which of the following is a real-world example of the Internet of Things (IoT)?,A smart bulb controlled via smartphone,A traditional wooden chair,A printed paper book,A wooden pencil,1
What are aerial Drones primarily used for?,Photography; delivery; and crop spraying,Typing letters,Washing clothes,Sleeping,1
Services like Google Drive and Microsoft OneDrive provide which type of computing service?,Cloud storage on the Internet,Antivirus scanning,Local printing,Optical mouse control,1
How does a proximity sensor help an autonomous robot navigate?,Detects obstacles so the robot can change paths,Puts the robot to sleep,Feeds food to the robot,Causes the robot to break walls,1
Given the HTML code: <h1>Hello</h1> <p>Hi</p> <h6>Bye</h6>; which text will render the LARGEST?,Hello (h1),Hi (p),Bye (h6),All appear the same size,1
In Scratch: When green flag clicked; repeat 4: move 10 steps. What is the total distance moved?,10 steps,14 steps,40 steps,4 steps,3
Assertion (A): Do not perform banking on free open railway Wi-Fi. Reason (R): Hackers can intercept and steal data on unencrypted public networks.,Both A and R are true and R correctly explains A,Both A and R are true but R does not explain A,A is true but R is false,A is false but R is true,1
Find the next number in the series: 1; 2; 6; 24; 120; ?,240,360,720,600,3
Complete the letter series: Z; X; V; T; R; ?,Q,P,O,S,2
Solve the analogy: Pen : Write :: Knife : ?,Draw,Cut,Read,Drink,2
Find the odd one out from the numbers: 2; 3; 5; 9,2,3,5,9,4
If PEN is coded as 16-5-14 based on alphabet positions; what is the code for BOOK?,2-15-15-11,2-14-14-11,3-15-15-11,2-15-14-11,1
A person faces WEST; then turns left; turns left again; and finally turns right. Which direction are they facing?,North,South,East,West,2
Sita is 8th from the LEFT and 7th from the RIGHT in a row. What is the total number of persons?,16,14,15,13,2
"Raj says: ""She is the wife of my father's ONLY son."" If Raj is an only son; who is she?",Raj's wife,Raj's sister,Raj's mother,Raj's aunt,1
Today is Tuesday. What day of the week will it be after 10 days?,Thursday,Friday,Saturday,Monday,2
Which hardware technology was introduced during the Second Generation of computers?,Vacuum tubes,Transistors,Microprocessors,Artificial Intelligence,2
What was the ancient ABACUS designed for?,First calculating device using beads and rods,First laptop computer,First paper printer,First network router,1
Third Generation computers were primarily built using which component?,Vacuum tubes,Discrete transistors only,Integrated Circuits (ICs),Mechanical gears only,3
The Fifth Generation of computing focuses heavily on which domain?,Vacuum tubes,Mechanical gears,Artificial Intelligence & Robotics,Manual typewriters,3
Which of the following describes Cache memory?,Very small and extremely fast memory located near/in CPU,Large and slow external storage,An optical CD disc,Dedicated printer buffer memory only,1
Which of the following is an example of OPTICAL storage using laser technology?,RAM,CD / DVD,CPU Cache,ROM chip,2
How many bits make up 1 Byte of computer data?,8 bits,1024 bits,8 KB,1 KB,1
In Windows 11; what does the shortcut key combination Win + E open?,Edge browser,File Explorer,Excel spreadsheet,Email client,2
In Windows; which key is pressed after selecting a file to RENAME it?,F1,F2,F5,F7,2
What is the primary difference between a notes.txt file and a report.docx file?,.txt is plain text without styling; .docx supports formatting and media,Both formats are identical,.txt stores images only,.docx stores video only,1
What does the shortcut Ctrl + A perform in document editors?,Select All text and items,Select one word only,Delete all content,Save all changes,1
In the chemical formula H2O; the number 2 is set slightly below the text line. What is this formatting effect called?,Superscript,Subscript,Superline,Bold,2
Which shortcut key in MS Word is used to quickly FIND a specific word?,Ctrl+F,Ctrl+H only,Ctrl+S,Ctrl+P,1
Where does a Footer automatically appear in a word document?,Top of every page,Bottom of every page,Only once in the middle,Never appears in print,2
What is the visual difference between Portrait and Landscape page orientation?,Portrait is taller vertically; Landscape is wider horizontally,Both orientations are vertical,Both orientations are horizontal,Portrait can only display photos,1
In MS PowerPoint; which shortcut starts the slide show from the CURRENT active slide?,First slide shortcut (F5),Shift+F5,Last slide shortcut,Ctrl+F5,2
What is the keyboard shortcut to insert a NEW slide into a PowerPoint presentation?,Ctrl+S,Ctrl+M,Ctrl+P,Ctrl+N,2
Which tab on the MS PowerPoint ribbon is used to insert a picture or photograph onto a slide?,View -> Zoom,Insert -> Pictures,File -> Save,Home -> Font,2
What is the difference between a Modem and a Router in home networking?,Modem brings Internet to premises; Router shares it across devices,Both are paper printers,Router brings Internet; Modem shares it across devices,Both perform the exact same function,1
Which of the following passwords is the STRONGEST against security attacks?,123456,ananya,ananya2005,An@2026#ya!,4
If someone engages in bullying or harassment in an online game chat; what is the BEST response?,Reply with abusive language,Block user; save screenshots; and notify parents or teachers,Share your home address,Keep it a secret and continue playing,2
What does a web address beginning with 'https://' alongside a padlock icon indicate?,A secure encrypted connection,A website infected with viruses,A fake website,No Internet access,1
What does the HTML tag <p>This is fun</p> do on a webpage?,Defines a paragraph block of text,Creates a large header,Inserts a graphic image,Creates an active hyperlink,1
In CSS; which rule is used to set the background colour of an element to blue?,background-color: blue;,text-color: blue;,font-style: blue;,border-align: blue;,1
"In Scratch; which category does the block ""when [space] key pressed"" belong to?",Events,Looks,Sound,Pen,1
In Scratch; which category contains the block to switch a character's costume to make it dance?,Motion,Looks,Sound,Control,2
"In Scratch; how does a ""forever"" loop behave compared to a ""repeat 10"" loop?",Runs continuously until manually stopped,Repeats only 1 time,Stops immediately after start,Pauses execution for 1 second,1
"Which block category in Scratch is used to play audio clips like a ""meow"" sound?",Motion block,Sound block,Pen block,Sensing block,2
Self-driving autonomous cars navigate roads primarily using:,AI; cameras; and sensor arrays,Manual steering only,Fuel combustion alone,Physical paper roadmaps,1
Which of the following functions can modern smartwatches perform?,Track steps; monitor heart rate; and display alerts,Print physical paper documents,Wash household clothes,Cook meals,1
Making cashless payments by scanning a merchant QR code with Google Pay or PhonePe uses which system?,UPI (Unified Payments Interface),MS Paint,MS Word,Flashlight tool,1
How does a 3D Printer manufacture physical items?,By depositing material layer by layer into a 3D object,By printing ink only on flat paper,By outputting audio recordings,By placing telephone calls,1
Conversational AI tools such as ChatGPT and Gemini are categorized as:,AI Chatbots / Large Language Models,Hardware printers,Input mice,Audio speakers,1
"In Scratch; what occurs when a sprite executes the block ""if on edge; bounce""?",The sprite stays within the stage and reverses direction,The sprite vanishes permanently,The computer shuts down,The sound engine stops forever,1
A school campus connects computers across three floors in one building and links to its branch in another city via the Internet. These networks are:,Campus is LAN; Inter-city link is WAN,Both connections are WAN,Both connections are LAN,No network is formed,1
To format a 10-page report with a Title at the top of every page and Page Numbers at the bottom; which tool is used?,Header for title and Footer for page numbers,Retype the title manually on every page,Use Header only and omit page numbers,Draw banners by hand on printouts,1
