Carbohydrates are the primary source of what for our body?	Energy	Protein	Fat	Vitamin	1
Glucose; which provides quick energy; is a type of which nutrient?	Protein	Carbohydrate	Vitamin	Mineral	2
Which nutrient group is described as body-building foods essential for growth and repair?	Fats	Carbohydrates	Proteins	Vitamins	3
Which nutrient group is stored in the body and serves as an energy reserve; such as fat accumulated by polar bears before hibernation?	Proteins	Carbohydrates	Vitamins	Fats	4
Vitamins and minerals are known as which type of foods because they protect the body from diseases?	Protective foods	Energy-giving foods	Body-building foods	Roughage foods	1
A deficiency of Vitamin A mainly results in which condition?	Scurvy	Loss of vision	Rickets	Beriberi	2
A deficiency of Vitamin B1 mainly results in which condition?	Rickets	Scurvy	Beriberi	Goitre	3
A deficiency of Vitamin C mainly results in which condition?	Rickets	Beriberi	Goitre	Scurvy	4
A deficiency of Vitamin D mainly results in which condition?	Rickets	Scurvy	Anaemia	Goitre	1
A deficiency of calcium mainly results in which condition?	Anaemia	Bone and tooth decay	Goitre	Rickets	2
A deficiency of iodine mainly results in which condition?	Scurvy	Rickets	Goitre	Anaemia	3
A deficiency of iron mainly results in which condition?	Goitre	Rickets	Scurvy	Anaemia	4
Vitamin D can also be naturally produced by our body upon exposure to what?	Sunlight	Rainwater	Soil	Wind	1
Which nutrient is important as it forms a key component of blood?	Calcium	Iron	Iodine	Vitamin C	2
Green leafy vegetables; beetroot; and pomegranate are good sources of which nutrient?	Calcium	Vitamin D	Iron	Iodine	3
Seaweed; water chestnut; and iodised salt are good sources of which nutrient?	Calcium	Vitamin C	Iron	Iodine	4
Milk; curd; cheese; and paneer are commonly known as good sources of which nutrient?	Calcium	Iron	Iodine	Vitamin C	1
Amla; guava; green chilli; orange; and lemon are rich sources of which vitamin?	Vitamin A	Vitamin C	Vitamin D	Vitamin B1	2
Papaya; carrot; and mango are good sources of which vitamin?	Vitamin C	Vitamin D	Vitamin A	Vitamin B1	3
Legumes; nuts; whole grains; and milk products are good sources of which vitamin?	Vitamin A	Vitamin C	Vitamin D	Vitamin B1	4
Dietary fibres; also known as roughage; mainly help our body do what?	Ensure smooth passage of stools	Provide energy	Build muscles	Absorb calcium	1
Which component of food helps remove waste from our body through sweat and urine?	Roughage	Water	Vitamins	Minerals	2
Components of food that provide energy; support growth; and protect our body from diseases are collectively called what?	Roughage	Calories	Nutrients	Minerals	3
A diet that provides all essential nutrients in the right amounts required for proper growth and development is called what?	An energy diet	A protein-rich diet	A protective diet	A balanced diet	4
Which Indian nutrition scientist analysed nutritional requirements of Indian foods for more than 500 people and initiated the programme that became the PM POSHAN scheme?	Coulthur Gopalan	Salim Ali	Janaki Ammal	James Lind	1
The Mid Day Meal Programme initiated in India in 2002 was later renamed as which government-run initiative?	Beti Bachao Beti Padhao	PM POSHAN	Ayushman Bharat	Swachh Bharat	2
Which physician's observations on sailors during long sea voyages helped establish that citrus fruits could cure scurvy?	Coulthur Gopalan	Salim Ali	James Lind	Janaki Ammal	3
Symptoms of swelling in the neck; observed among children in the Himalayan region of India in the 1960s; were later found to result from a deficiency of which nutrient?	Vitamin C	Vitamin D	Calcium	Iodine	4
The traditional stove used for cooking; often fuelled by wood or dried cow dung; is commonly known by what name?	Chulha	Sil-batta	Tapyo	Soop	1
The traditional stone tool used for grinding spices and ingredients before the invention of electrical grinders is known by what name?	Chulha	Sil-batta	Tapyo	Chalni	2
Changes in cooking practices over time; such as the shift from manual grinding to electrical grinders; are mainly attributed to what kind of developments?	Cultural developments	Religious developments	Technological developments	Political developments	3
The choice and diversity of traditional food crops grown in different regions of India mainly depend on what factors?	Population density and language	Government policy alone	Family income alone	Soil and climatic conditions	4
The distance that food travels from the producer to the consumer is referred to by what term?	Food miles	Food chain	Food web	Food cycle	1
Reducing food miles mainly helps achieve which of the following benefits?	Increasing pollution and cost	Supporting local farmers and reducing pollution and cost	Making food less fresh	Increasing transportation time	2
In the story of a chapati's journey from farm to plate; which step comes immediately after threshing and winnowing of grains?	Transport to retail shop	Food on our plate	Grinding of grains into flour	Farmer growing wheat	3
When a small amount of iodine solution is added to a food item and it turns blue-black in colour; this indicates the presence of what?	Protein	Fat	Vitamin C	Starch	4
When a food item is rubbed onto a piece of paper and leaves behind a translucent oily patch after drying; this indicates the presence of what?	Fat	Starch	Protein	Roughage	1
When a food sample is treated with copper sulphate solution and caustic soda and turns violet in colour; this indicates the presence of what?	Starch	Protein	Fat	Vitamin C	2
Jowar; bajra; ragi; and sawa are examples of which group of nutrition-rich cereals?	Pulses	Legumes	Millets	Roughage foods	3
Compared to many refined foods; millets are especially valued as good sources of which of the following?	Only sugar	Only fat	Only water	Iron; calcium; and dietary fibre	4
Millets are often well suited to cultivation in regions with what kind of growing conditions?	Regions with very high water availability only	Regions with adverse climatic conditions and less water	Regions with no sunlight	Regions with constant snowfall	1
Frequent consumption of junk foods such as candy bars and carbonated drinks is associated with which health risk?	Improved eyesight	Obesity	Stronger bones	Better digestion	2
Compared to nutritious home-cooked meals; junk foods are generally described in the chapter as containing high amounts of what?	High protein and vitamins	High roughage and minerals	High fat and sugar; but low nutritional value	High iron and calcium only	3
In India; which government agency regulates food safety standards and food fortification quality?	The Ministry of Agriculture	The Reserve Bank of India	The Indian Council of Medical Research	The Food Safety and Standards Authority of India	4
Adding extra nutrients; such as iron or iodine; to foods like salt during processing to improve their nutritional value is known as what?	Food fortification	Food fermentation	Food distillation	Food refining	1
According to the chapter; the nutritional requirements of a balanced diet mainly vary based on which of the following factors?	Only the colour of food consumed	Age; gender; physical activity; and lifestyle	Only the region a person lives in	Only personal taste preference	2
Sugar is described in the chapter as an example of which type of nutrient that does not provide a complete balanced diet on its own?	Protein	Fat	Carbohydrate	Vitamin	3
The Apatani tribe of Arunachal Pradesh traditionally produces a variety of salt to fulfil their dietary requirements; what is this salt called?	Namak	Tapyo	Sil-batta	Chulha	4
Salt farming carried out by a tribal community in the Little Rann of Kutch; Gujarat; is traditionally practised by which community?	The Agariyas	The Apatani	The Toda	The Bhil	1
According to the chapter; before consuming fruits and vegetables; what practice is generally recommended to reduce loss of nutrients?	Peeling them completely	Washing them before consumption	Cooking them for a very long time	Storing them for several days	2
According to the chapter; cutting or peeling vegetables well in advance and overcooking them can lead to what outcome?	Increased vitamin content	Better taste only	Loss of some vitamins and nutrients	No change in nutrient content	3
Mushrooms; which are commonly grown in dark and moist places; are considered a good source of which nutrient?	Carbohydrate	Vitamin C	Iodine	Protein	4
Athletes and sportspersons require larger quantities of which nutrient to help build and repair their muscles?	Protein	Carbohydrate	Vitamin C	Iodine	1
Traditional winter foods like laddoos made using wheat flour; ghee; and nuts are valued mainly because they are rich in which nutrient that helps keep the body warm?	Carbohydrate	Fat	Vitamin C	Iodine	2
According to the chapter; oils and ghee are commonly grouped under which type of food component?	Carbohydrate	Protein	Fat	Roughage	3
Drinking water regularly; even without feeling thirsty; is recommended in the chapter mainly to help keep which organ system healthy and support waste removal?	The digestive system only	The skeletal system	The respiratory system	The body overall; by removing waste through sweat and urine	4
What is the process called in which impurities are removed from a mixture by manually picking them out based on differences in size; shape; or colour?	Handpicking	Threshing	Winnowing	Sieving	1
What is the process called in which grains are separated from their dry stalks by beating them?	Winnowing	Threshing	Sieving	Decantation	2
What is the process called in which heavier grains are separated from lighter husk using wind or blowing air?	Sieving	Threshing	Winnowing	Filtration	3
What is the process called in which components of a solid-solid mixture are separated based on differences in particle size using a mesh?	Winnowing	Decantation	Evaporation	Sieving	4
What is the term for the process in which the heavier insoluble component of a mixture settles down at the bottom of a liquid?	Sedimentation	Decantation	Filtration	Evaporation	1
What is the process called in which the liquid lying above a settled solid is gently poured off without disturbing the solid at the bottom?	Sedimentation	Decantation	Sieving	Churning	2
What is the process called in which insoluble solid particles are separated from a liquid by passing the mixture through a filter paper?	Sedimentation	Decantation	Filtration	Evaporation	3
What is the process called in which a liquid is converted completely into vapour; leaving behind the solid dissolved in it?	Sedimentation	Filtration	Sieving	Evaporation	4
What is the process called in which butter is separated from curd by vigorous agitation?	Churning	Threshing	Winnowing	Sedimentation	1
What is the process called in which magnetic substances are separated from non-magnetic ones using a magnet?	Filtration	Magnetic separation	Sieving	Decantation	2
Handpicking as a method of separation is most suitable when the mixture contains what kind of impurities?	Dissolved salts that cannot be seen	Very fine dust particles	Distinctly visible particles differing in size; shape; or colour	Gases mixed with liquids	3
In winnowing; the separation of heavier grains from lighter husk mainly relies on what factor?	The colour of the grains	The shape of the husk	The temperature of the air	The difference in weight between grains and husk	4
Sieving is used to separate the components of a mixture mainly on the basis of what property?	The size of the particles	The weight of the particles	The colour of the particles	The smell of the particles	1
What happens to the heavier insoluble particles of a mixture during sedimentation?	They dissolve completely in the liquid	They settle down at the bottom of the liquid	They float on top of the liquid	They evaporate along with the liquid	2
Decantation is commonly used in daily life for which of the following purposes?	Separating salt from seawater	Separating iron filings from sand	Washing rice and pulses before cooking	Separating butter from curd	3
In the process of filtration; the clear liquid that passes through the filter paper is known as what?	Residue	Sediment	Precipitate	Filtrate	4
In the process of filtration; the solid particles left behind on the filter paper are known as what?	Residue	Filtrate	Sediment	Precipitate	1
The choice of material used as a filter; such as cotton; charcoal; or sand; mainly depends on what factor?	The colour of the particles to be removed	The size of the particles to be removed	The temperature of the mixture	The smell of the mixture	2
Which of the following is commonly used as a filtering material in a low-cost water filter model?	Sugar	Salt	Charcoal	Butter	3
Common salt obtained from seawater is separated by which method of separation?	Filtration	Sieving	Magnetic separation	Evaporation	4
Which lake in Rajasthan is known as a natural source of common salt obtained through evaporation?	Sambhar Lake	Chilika Lake	Dal Lake	Loktak Lake	1
In the traditional Indian system of Ayurveda; which method of separation is often used to concentrate herbal extracts prepared from roots; leaves; and bark?	Winnowing	Evaporation	Sieving	Magnetic separation	2
The white patches often seen on dark-coloured clothes after sweating in hot weather are formed mainly due to what process?	Sedimentation of dust particles	Filtration of sweat through cloth	Evaporation of water; leaving behind dissolved salt	Magnetic separation of minerals	3
Salt is traditionally obtained from seawater by allowing it to stand in shallow pits and undergo which process?	Filtration through sand	Sedimentation overnight	Sieving through cloth	Evaporation caused by sunlight and air	4
The historic Dandi March is associated with protesting a British-era law related to which common substance?	Salt	Sugar	Iron	Cotton	1
Which ashram in Ahmedabad is historically associated with the Dandi March related to salt production?	Ramakrishna Ashram	Sabarmati Ashram	Aurobindo Ashram	Shantiniketan	2
Iron filings mixed with sand can be separated most efficiently using which method?	Winnowing	Sieving	Magnetic separation	Decantation	3
In industries; scrap iron is commonly separated from waste materials using which device?	A sieve	A filter paper	A bamboo tray	A magnet	4
During the churning of curd to make butter; what happens to the lighter fat component?	It rises and floats above the buttermilk	It settles at the bottom of the vessel	It dissolves completely into the buttermilk	It evaporates during churning	1
Traditional churning of curd using a wooden churner mainly helps in separating which two components?	Water and salt	Butter and buttermilk	Husk and grain	Iron and sand	2
Before the invention of paper tea bags; tea bags were commonly made using which soft cloth material?	Cotton	Wool	Silk	Nylon	3
Manufacturers eventually stopped using silk for tea bags mainly because of what problem?	Silk was too heavy to float in water	Silk changed the colour of tea	Silk did not allow any water to pass through	Silk fell apart when it came into contact with hot water	4
Modern tea bags are commonly made using which materials that replaced silk cloth?	Gauze or muslin	Iron mesh	Cotton wool only	Aluminium foil	1
A bamboo tray traditionally used for winnowing grains is commonly known by what name?	Chalni	Soop	Thresher	Sieve	2
Sieves used at construction sites are commonly used to separate which two components of sand?	Water and mud	Salt and sugar	Pebbles and stones from fine sand	Iron nails and wood chips	3
Which of the following separation methods relies on differences in the size of the holes or pores in the separating material?	Evaporation	Magnetic separation	Churning	Sieving and filtration	4
When a filter paper is used to separate mud from muddy water; which physical property mainly determines whether a mud particle passes through it?	Whether the particle is larger or smaller than the pores of the filter paper	The colour of the mud particle	The temperature of the water	The smell of the mud	1
A funnel lined with filter paper; through which muddy water is poured to collect clear water below; demonstrates which method of separation?	Sedimentation	Filtration	Winnowing	Magnetic separation	2
Threshing of grains from stalks can be performed traditionally by manual beating or; in modern times; by using which machines?	Sieves	Magnets	Threshers	Filters	3
Technological developments have combined which two traditional tasks of separating grains into a single machine?	Filtration and evaporation	Sedimentation and decantation	Churning and magnetic separation	Threshing and winnowing	4
A mixture of oil and water; where oil floats undisturbed at the top after some time; is best separated using which method?	Decantation	Sieving	Magnetic separation	Threshing	1
Which of the following best describes the term 'residue' in the context of filtration?	The clear liquid that has passed through the filter	The solid particles trapped and left behind on the filter	The vapour formed after heating a solution	The floating layer formed after churning	2
Which of the following pairs of substances would most appropriately be separated using the method of sieving?	Salt dissolved in water	Butter and buttermilk	Wheat flour and small stones	Iron filings and sawdust	3
Which of the following pairs of substances would most appropriately be separated using magnetic separation?	Tea leaves and tea liquid	Salt and water	Husk and grains	Iron nails mixed with sawdust	4
Which of the following pairs of substances would most appropriately be separated using evaporation?	Common salt dissolved in seawater	Pebbles mixed with sand	Iron filings mixed with sand	Butter and buttermilk	1
Which of the following pairs of substances would most appropriately be separated using winnowing?	Muddy water	Husk and grains	Salt dissolved in water	Iron nails and wood shavings	2
Which of the following pairs of substances would most appropriately be separated using handpicking?	Salt dissolved in water	Fine sand and water	Small stones mixed with a handful of grains	Butter and buttermilk	3
Which of the following pairs of substances would most appropriately be separated using filtration?	Husk and grains	Iron filings and sand	Pebbles and stones from sand	Insoluble mud particles suspended in water	4
What general term is used in the chapter to describe a combination of two or more substances that are not chemically combined; such as grains mixed with husk and stones?	Mixture	Solution	Compound	Residue	1
Choosing an appropriate method of separation for a given mixture mainly depends on what factor about its components?	Their taste	Their physical properties; such as size; weight; or magnetic behaviour	Their colour alone	Their cost	2
What term describes the wide variety of plants and animals found in a particular region?	Biodiversity	Adaptation	Habitat	Venation	1
Ponds; lakes; rivers; and oceans are examples of which type of habitat?	Terrestrial habitat	Aquatic habitat	Desert habitat	Mountain habitat	2
Frogs and toads; which can live both in water and on land; belong to which group of animals?	Reptiles	Fishes	Amphibians	Mammals	3
What is the place where a plant or animal naturally lives called?	Adaptation	Venation	Biodiversity	Habitat	4
Traditionally protected; undisturbed patches of forest that are home to a variety of plants and animals are called what?	Sacred groves	National parks	Botanical gardens	Wildlife sanctuaries	1
What is the main reason the population of the Bengal Tiger declined in India?	Excess rainfall	Loss of natural habitat due to human activities	Overproduction of food	Increase in forest cover	2
In which year was the Cheetah Reintroduction Project initiated to restore the cheetah population in India?	1973	1987	2022	1976	3
The habitats of the Great Indian Bustard have been declared as protected areas in which states?	Kerala and Tamil Nadu	Punjab and Haryana	West Bengal and Odisha	Gujarat; Rajasthan; and Maharashtra	4
Plants with soft; tender; and thin stems that are usually short in height are grouped as what?	Herbs	Shrubs	Trees	Climbers	1
Plants with hard; woody stems that branch out close to the ground are grouped as what?	Trees	Shrubs	Herbs	Climbers	2
Plants with hard; woody stems that branch out higher up on the stem are grouped as what?	Shrubs	Herbs	Trees	Creepers	3
Plants with weak stems that require support in order to climb upward are called what?	Herbs	Creepers	Shrubs	Climbers	4
Plants with weak stems that grow and spread along the ground are called what?	Creepers	Shrubs	Trees	Climbers	1
A chickpea seed splits into two parts when soaked in water because it has how many cotyledons?	One	Two	Three	Four	2
A maize seed has a single cotyledon; which places it in which category of plants?	Dicotyledons	Herbs	Monocotyledons	Shrubs	3
Plants such as hibiscus; which have seeds with two cotyledons; are known as what?	Monocots	Herbs	Climbers	Dicots	4
A net-like pattern of veins found on both sides of a thick middle vein; as seen in a hibiscus leaf; is called what?	Reticulate venation	Parallel venation	Fibrous venation	Taproot venation	1
The thin lines running parallel to each other on a banana or grass leaf are examples of what type of venation?	Reticulate venation	Parallel venation	Taproot venation	Fibrous venation	2
A mustard plant has one main root with smaller roots arising from it; this type of root system is called what?	Fibrous root	Adventitious root	Taproot	Prop root	3
Common grass has a bunch of similar-sized thin roots arising from the base of the stem; this root system is called what?	Taproot	Prop root	Adventitious root	Fibrous root	4
Plants with reticulate leaf venation; such as hibiscus and mustard; typically have which type of root system?	Taproots	Fibrous roots	Aerial roots	Adventitious roots	1
Plants with parallel leaf venation; such as lemongrass and wheat; typically have which type of root system?	Taproots	Fibrous roots	Prop roots	Adventitious roots	2
A fish uses which body part to help it move and swim in water?	Legs	Wings	Fins	Hooves	3
A goat uses which body part to walk on the ground?	Fins	Wings	Antennae	Legs	4
Special features that enable plants and animals to survive in a particular region are called what?	Adaptations	Habitats	Sacred groves	Venations	1
What is stored inside a camel's humps that helps it survive when food is scarce in the desert?	Water	Fat	Salt	Blood	2
Why do a camel's humps become smaller during late winters in the cold desert of Ladakh?	Because they store more water	Because of extreme heat	Because there is scarcity of food	Because the camel grows taller	3
Deodar trees found in mountain regions have a conical shape with sloping branches mainly to do what?	Absorb more sunlight	Reduce water loss	Attract pollinators	Let snow slide off easily	4
The thick and fleshy stems of a cactus found in a desert are an adaptation mainly for what purpose?	Storing water	Producing more flowers	Trapping insects	Reducing height	1
Rhododendrons growing at higher altitudes on mountain tops tend to be shorter mainly because of what factor?	Excess rainfall	Heavy winds at higher altitudes	Poor soil quality	Lack of sunlight	2
Which Indian botanist documented and preserved India's rich plant biodiversity and initiated the Botanical Survey of India's plant diversity programmes?	Salim Ali	Maya	Janaki Ammal	Kashi	3
Which Indian ornithologist; referred to as the 'Birdman of India'; documented bird diversity and habitats and wrote 'The Book of Indian Birds'?	Janaki Ammal	Sagar	Raghu	Salim Ali	4
The Save Silent Valley Movement was a successful effort to protect which forest region in Kerala?	An evergreen forest in the Palakkad district	A hot desert in Rajasthan	A mangrove forest in Sunderbans	A grassland in Maharashtra	1
Sea turtles; whales; and other animals that live in the ocean are said to belong to which type of habitat?	Terrestrial habitat	Aquatic habitat	Mountain habitat	Desert habitat	2
Forests; deserts; grasslands; and mountains are all examples of which type of habitat?	Aquatic habitat	Underground habitat	Terrestrial habitat	Polar habitat	3
A duck has webbed feet on its legs mainly to help it do what?	Climb trees	Dig burrows	Run faster on land	Swim in water	4
Which body part of animals such as ants; pigeons; and houseflies is commonly used for the movement of flying?	Wings	Fins	Legs	Hooves	1
A person who can imitate the unique chirping calls of many different birds is used in the chapter to illustrate which concept?	Habitat adaptation	Diversity in bird calls	Camouflage	Migration patterns	2
Camels found in hot deserts survive without drinking water for many days mainly because they do what?	Drink seawater instead	Store large amounts of water in their skin	Do not lose much water from their bodies	Sweat excessively to cool down	3
What is the main reason we must protect biodiversity in a region?	To increase tourism revenue	To reduce the number of species	To convert forests into farmland	To help plants and animals survive and thrive	4
Which criterion is commonly used to group plants based on whether they bear blooms?	Presence or absence of flowers	Type of root system	Colour of stem	Number of leaves	1
Which criterion groups animals based on the region or surroundings they inhabit?	Eating habits	Place where they live	Body colour	Body size	2
Which criterion is used to group animals based on what they consume?	Place where they live	Body shape	Eating habits	Type of movement	3
Which criterion distinguishes plants based on whether their stem is woody or soft?	Presence of flowers	Type of root	Leaf shape	Hard or soft stem	4
An ant uses which body part for both walking and jumping?	Legs	Wings	Fins	Antennae	1
A pigeon uses which body parts to both walk and fly?	Fins and legs	Legs and wings	Wings only	Legs only	2
A housefly uses which body parts to both walk and fly?	Fins and wings	Legs only	Legs and wings	Antennae and legs	3
Which body feature allows a fish to move smoothly and efficiently through water?	Long legs	Broad feet	Webbed toes	A streamlined body	4
The Save Silent Valley Movement in Kerala was launched to oppose a hydroelectric dam project on which river?	The Kunthipuzha river	The Ganga river	The Godavari river	The Periyar river	1
What was the outcome of the Save Silent Valley Movement after nearly ten years of public campaigning?	The dam project was completed	The proposal for the dam was dropped and the forest was saved	The forest was declared farmland	The river was diverted permanently	2
Which national park in Rajasthan did the ornithologist Salim Ali help study; document; and conserve?	Corbett National Park	Silent Valley	Keoladeo National Park in Bharatpur	Kaziranga National Park	3
Which national award was conferred upon ornithologist Salim Ali in 1976?	Bharat Ratna	Padma Shri	Nobel Prize	Padma Vibhushan	4
Botanist Janaki Ammal played a key role in supporting which conservation movement to preserve plant biodiversity?	The Save Silent Valley Movement	The Chipko Movement	The Cheetah Reintroduction Project	The Namami Gange Mission	1
Camels produce dry dung and highly concentrated urine mainly as an adaptation to do what?	Digest food faster	Conserve water in their bodies	Regulate body temperature	Attract other camels	2
Compared to camels living in the hot desert of Rajasthan; camels living in the cold desert of Ladakh typically have what kind of legs and hooves?	Longer legs and broader hooves	The same length legs and hooves	Shorter legs and hooves	No hooves at all	3
A dicot seed such as chickpea splits into two parts when soaked in water; what does a monocot seed such as maize typically do?	Splits into three parts	Splits into two equal parts	Dissolves completely	Does not split into two parts	4
In an observation of common plants; the leaves of common grass are described as arising in which arrangement along the stem?	Growing alternately from the stem	Growing only from the base	Growing in a spiral crown	Growing opposite each other in pairs	1
In the same observation; the leaves of a tulsi plant are described as arranged in which way on the stem?	Growing alternately from the stem	A pair of leaves growing opposite each other	Growing only underground	Growing in a single spiral	2
What colour are the flowers of the tulsi (holy basil) plant described as?	Bright red	Deep blue	Pinkish purple	Bright yellow	3
In a comparison of plant height and stem type; a mango tree is classified under which height category?	Short	Medium	Close to ground	Tall	4
