Question,Option 1,Option 2,Option 3,Option 4,Answer
Wi-Fi helps a laptop:,Stay cold,Connect without a wire,Print only in Paint,Delete the hard disk,2
AI stands for:,Animal Internet,Artificial Intelligence,Auto Ink,Apple Input,2
Unlocking a phone by looking at the camera uses:,MS Word ribbon,Face recognition / AI,Recycle Bin,Caps Lock,2
A robot vacuum stops before a wall because of a:,Speaker,Sensor,Printer cartridge,Title bar,2
Which device can answer when you speak to it?,Ruler,Smart speaker,Stapler,Chalk,2
A smartwatch can:,Print a book,Count steps,Scan a full page like a scanner,Replace the CPU,2
A robotic arm in a car factory is a:,Toy bag,Industrial robot,Search engine,Web browser,2
Which one is NOT a robot?,Robot vacuum,Humanoid robot,Medical robot,School textbook,4
Putting marks on a computer instead of a paper register is called:,Painting,Computerization,Cropping,Surfing,2
Self-driving cars use AI mainly to:,Draw the school logo,Sense the road and decide movement,Play Paint games,Empty Recycle Bin,2
Which is a safe lab habit?,Eat chips on the keyboard,Keep water away from the computer,Pull wires hard,Click every pop-up,2
If a stranger online asks your home address; you should:,Type it quickly,Tell a parent or teacher,Share it in class group,Ignore school rules,2
The safest student is the one who:,Downloads unknown files,Asks an adult before a new website,Tells the password to friends,Chats with strangers,2
To write a notice; make the heading bold; and take a paper copy; use:,Paint + Eraser only,Word + Bold + Print,Calculator + Recycle Bin,Sensor + Robot,2
A child wants a birthday card with a drawing and a printed message. Best tools:,Word + Paint + Printer,Speaker + Webcam only,ROM + RAM only,Shift + Caps Lock only,1
First draw a sun; fill it yellow; then remove an extra line. Tools in order:,Text; Crop; Browser,Shapes / Oval; Fill; Eraser,Bold; Italic; Underline,CPU; RAM; ROM,2
Riya copies a sentence; then pastes it in two places. She used:,Cut only,Copy and Paste,Delete and Enter,Undo and Redo only,2
Which sequence is correct to save and close a Word file?,Print -> Crop -> Fill,Type -> Ctrl + S -> Close,Scan -> Sensor -> AI,Caps Lock -> Tab -> Esc,2
A picture is too wide for the page. In Paint; the best next step is:,Bang the keyboard,Resize or Crop,Share the password,Turn off Wi-Fi only,2
Anu hears a voice assistant set an alarm. This gadget uses:,Only a pencil,AI / speech recognition,MS Paint curve tool,A floppy disk,2
Which group is ALL input?,Monitor; Printer; Speaker,Keyboard; Mouse; Microphone,ROM; Recycle Bin; Chrome,Oval; Fill; Flip,2
Vikram is 2nd from the left and 6th from the right. How many children in the row?,6,7,8,9,2
If CAT = DBU and MOUSE starts with N; the last letter of the code for MOUSE is:,F,T,E,D,1
A cube has how many edges?,6,8,12,16,3
After two right turns from North; you face:,East,West,South,North,3
Which device both stores files AND can be taken out of the computer easily?,RAM chip soldered in,Pen drive,Monitor stand,Spacebar,2
To fix the word "teh" written 8 times in a story; fastest way is:,Retype the story,Find and Replace,Delete the folder,Print and scribble,2
Which is the correct IPO example?,Printer -> Keyboard -> CPU,Keyboard -> CPU -> Monitor,Speaker -> Mouse -> ROM,Paint -> Robot -> Password,2
